                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 1.2718,                0.62088,                0.81377,                 0.7746,                0.61368,                0.65971,                0.29049,                 2.2044,                 1.4018,                0.92559,              0.0057925,              0.0057925,              0.0057925
                     87,                 1.2762,                0.62481,                0.81708,                0.77568,                0.61343,                0.65974,                0.29055,                 2.2054,                 1.4041,                0.92586,               0.005743,               0.005743,               0.005743
                     88,                 1.2571,                0.61524,                0.81245,                0.77507,                0.61328,                0.65971,                0.29067,                 2.2065,                 1.4058,                0.92603,              0.0056935,              0.0056935,              0.0056935
                     89,                 1.2553,                0.61525,                0.81384,                0.77346,                0.61491,                0.66011,                0.29102,                 2.2076,                 1.4068,                0.92625,               0.005644,               0.005644,               0.005644
                     90,                 1.2494,                0.60541,                0.81551,                0.77127,                0.61594,                0.65963,                0.29068,                 2.2101,                 1.4097,                0.92641,              0.0055945,              0.0055945,              0.0055945
                     91,                 1.2403,                0.60563,                0.81377,                0.76952,                0.61688,                0.65972,                0.29016,                 2.2079,                 1.4085,                0.92631,               0.005545,               0.005545,               0.005545
                     92,                 1.2417,                0.60559,                0.81132,                0.76908,                0.61565,                 0.6589,                 0.2898,                 2.2091,                  1.412,                 0.9265,              0.0054955,              0.0054955,              0.0054955
                     93,                 1.2339,                0.59873,                0.81132,                0.76869,                0.61526,                0.65915,                0.28953,                 2.2101,                 1.4135,                0.92663,               0.005446,               0.005446,               0.005446
                     94,                 1.2312,                0.59669,                0.81291,                0.76988,                0.61527,                 0.6596,                0.28919,                 2.2117,                 1.4132,                 0.9267,              0.0053965,              0.0053965,              0.0053965
                     95,                  1.234,                0.59724,                0.81111,                0.76831,                0.61392,                0.65884,                0.28915,                 2.2108,                 1.4173,                0.92702,               0.005347,               0.005347,               0.005347
                     96,                 1.2282,                0.59628,                0.81245,                0.76731,                0.61318,                0.65734,                0.28923,                 2.2124,                 1.4188,                0.92723,              0.0052975,              0.0052975,              0.0052975
                     97,                 1.2122,                0.58658,                0.80975,                0.76649,                 0.6117,                0.65668,                0.28904,                 2.2142,                 1.4213,                0.92763,               0.005248,               0.005248,               0.005248
                     98,                 1.2201,                0.58603,                0.81114,                0.76641,                0.61068,                  0.656,                0.28879,                 2.2155,                 1.4247,                0.92778,              0.0051985,              0.0051985,              0.0051985
                     99,                  1.207,                0.58456,                0.80788,                0.76559,                0.60948,                 0.6556,                0.28869,                 2.2125,                 1.4225,                0.92727,               0.005149,               0.005149,               0.005149
